,, 533 ," 9,644 "," 4,547 ",,,," 221,299.01 ",," 7,143,832.81 "," 559,776.83 "," 539,252.67 ",,,,,,,,,,,,," 499,983.03 "," 473,569.68 "," 973,552.71 "
BATCH NO.,BY,TOTAL CTN," Gross
Weight "," Volume
Weight ",Duty,Mat'l no, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , Actual Vat Fee , SERVICE& Handling Chgs , Transportation ," Paperless, Document, D/O , Bank Fee ", Customs fee , Customs Overtime , Freight+FUEL+Security charge ," EX-WORK/ 
FREE ZONE CHG "," CAF, CC Fee "," THC, CFS, STATUS, FACILITY ", Port/Storage /Terminal charges , Translate fee for through B/L for Form E document , Courier fee for Form E document , TOTAL Freight&Local chgs(Excluded VAT) , vat 7% , Grand Total 
IM190532,AIR, 19 , 157.50 , 158.00 ,30%,50841,800.00,176.00,32.0022,"5,632.39"," 1,689.72 ", 512.55 ," 1,200.00 ",, 300.00 , 200.00 ,," 8,737.09 ",, 836.85 ,," 4,482.00 ",, 724.28 ," 16,480.22 "," 15,287.32 "," 31,767.54 "
IM190532,AIR,,,,30%,50826,"5,000.00",550.00,32.0022,"17,601.21"," 5,280.36 "," 1,601.71 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50828,"1,000.00",120.00,32.0022,"3,840.26"," 1,152.08 ", 349.46 ,,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50918,"2,000.00",260.00,32.0022,"8,320.57"," 2,496.17 ", 757.17 ,,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50838," 4,000.00 ",640.00,32.0022,"20,481.41"," 6,144.42 "," 1,863.81 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50839," 5,300.00 ",954.00,32.0022,"30,530.10"," 9,159.03 "," 2,778.24 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50838," 7,000.00 ","1,120.00",32.0022,"35,842.46"," 10,752.74 "," 3,261.66 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50844," 7,200.00 ","1,296.00",32.0022,"41,474.85"," 12,442.46 "," 3,774.21 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50845," 3,700.00 ",777.00,32.0022,"24,865.71"," 7,459.71 "," 2,262.78 ",,,,,,,,,,,,, -   ,, -   
IM190532,AIR,,,,30%,50840," 2,400.00 ",384.00,32.0022,"12,288.84"," 3,686.65 "," 1,118.28 ",,,,,,,,,,,,, -   ,, -   
IM190538,AIR, 2 , 32.80 , 33.00 ,5%,75417, 340.00 ,146.21,36.1917,"5,291.59", 264.58 , 388.93 ," 1,300.00 ",, 750.00 , 200.00 ,,,,,," 2,052.00 ",,," 4,302.00 ", 287.14 ," 4,589.14 "
IM190538,AIR,,,,10%,75092," 4,000.00 ",52.60,36.1917,"1,903.68", 190.37 , 146.58 ,,,,,,,,,,,,, -   ,, -   
IM190538,AIR,,,,10%,80687," 3,090.00 ",120.88,36.1917,"4,374.85", 437.49 , 336.86 ,,,,,,,,,,,,, -   ,, -   
IM190538,AIR,,,,10%,80697," 1,400.00 ",97.13,36.1917,"3,515.30", 351.53 , 270.68 ,,,,,,,,,,,,, -   ,, -   
IM190538,AIR,,,,10%,80709," 4,000.00 ",277.52,36.1917,"10,043.92"," 1,004.39 ", 773.38 ,,,,,,,,,,,,, -   ,, -   
IM190538,AIR,,,,10%,M0 076301," 2,000.00 ",345.59,36.1917,"12,507.49"," 1,250.75 ", 963.08 ,,,,,,,,,,,,, -   ,, -   
IM190541,AIR, 42 , 749.00 , 749.00 ,5%,40356," 1,612.60 ","7,498.59",32.0022,"239,971.38"," 11,998.57 "," 17,637.90 "," 1,200.00 "," 1,200.00 ", 300.00 , 200.00 , 200.00 ," 65,364.49 ",," 4,575.51 ",," 15,241.00 ",, - ," 88,281.00 "," 1,492.16 "," 89,773.16 "
IM190541,AIR,,,,5%,40356," 1,431.20 ","6,655.08",32.0022,"212,977.20"," 10,648.86 "," 15,653.82 ",,,,,,,,,,,, - , -   ,, -   
IM190543,SEA, 282 ," 5,234.30 ", 19.27 ,5%,M0 021315, 521.14 ,"5,830.09",32.0022,"186,575.71"," 9,328.79 "," 13,713.31 "," 1,300.00 "," 7,800.00 "," 1,350.00 ", 200.00 ,," 7,364.23 ",,," 16,883.16 "," 2,533.55 "," 1,200.00 ", 630.41 ," 39,261.35 "," 242,654.67 "," 281,916.02 "
IM190543,SEA,,,,5%,M0 021312, 320.05 ,"2,272.36",32.0022,"72,720.52"," 3,636.03 "," 5,344.96 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021303," 1,210.68 ","9,624.91",32.0022,"308,018.29"," 15,400.91 "," 22,639.34 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021304, 512.98 ,"4,078.19",32.0022,"130,511.05"," 6,525.55 "," 9,592.56 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021318, 176.49 ,"1,403.10",32.0022,"44,902.29"," 2,245.11 "," 3,300.32 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021318, 316.39 ,"2,515.30",32.0022,"80,495.13"," 4,024.76 "," 5,916.39 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021302," 3,212.30 ","22,807.33",32.0022,"729,884.74"," 36,494.24 "," 53,646.53 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021305," 1,447.95 ","11,511.20",32.0022,"368,383.72"," 18,419.19 "," 27,076.20 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021310, 613.58 ,"4,877.96",32.0022,"156,105.45"," 7,805.27 "," 11,473.75 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,M0 021311, 319.13 ,"2,265.82",32.0022,"72,511.22"," 3,625.56 "," 5,329.58 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21104," 1,044.27 ","5,639.06",32.0022,"180,462.33"," 9,023.12 "," 13,263.98 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21116," 1,346.00 ","6,326.20",32.0022,"202,452.32"," 10,122.62 "," 14,880.25 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21102," 1,629.47 ","8,799.14",32.0022,"281,591.84"," 14,079.59 "," 20,697.00 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21102, 334.66 ,"1,807.16",32.0022,"57,833.10"," 2,891.65 "," 4,250.73 ",,,,,,,,,,,,, -   ,, -   
